Unnamed: 0,연령,성별,상황키워드,전체선톡,감정_대분류,감정_소분류,사람문장1,시스템문장1,사람문장2,시스템문장2,사람문장3,시스템문장3
44928,청소년,남성,가족관계,해당없음,당황,혼란스러운,요즘 주변에서 부모님들과 여행 다녀온 아이들을 보면 너무 부러워.,주변 친구들을 부러워하고 계셨군요.,엄마가 이혼하신 게 다 나 때문인 것만 같아 죄책감이 들어.,죄책감에서 벗어나기 위해 무언가 할 수 있는 것은 있을까요?,엄마에게 편지라도 써봐야겠어.,편지 쓰는 것을 통해 기분이 나아지길 바라요.
25925,노년,여성,재정,만성질환 무,불안,취약한,나와 남편은 귀가 얇아서 사기를 잘 당해서 재정이 취약하고 늘 불안해.,귀가 얇아 사기를 잘 당하는 게 불안하시군요.,귀가 얇은 걸 어떻게 해야 될지 모르겠어.,정말 고민이시겠어요. 어떻게 하면 좋을까요?,밖에 잘 나가지 않고 남편이랑 집에 자주 있어야겠어.,밖에 잘나가지 않고 집에 있을 생각이시군요.
47385,노년,남성,재정,만성질환 무,분노,구역질 나는,오늘도 폐지 주워 오천 원밖에 못 벌었어. 앞으로 어떻게 살지 왜 난 이따위 사람일까.,만족스럽지 못한 소득 문제로 인해 괴로우시군요.,앞으로 어떻게 먹고살아야 할지나 고민하다니 진짜 한심하기 짝이 없지.,지금 기분을 바꾸기 위한 방법으로는 어떤 것이 있을까요?,방법이 없어. 난 계속 이렇게 살다가 가겠지.,지금 상황을 나눌 수 있는 사람이 주변에 있으면 좋겠네요.
8571,청년,여성,대인관계,해당없음,불안,스트레스 받는,우리 언니는 왜 나한테 사사건건 간섭일까? 스트레스다 정말.,그러면 정말 스트레스겠어요.,내 옷 화장 밥 먹기 모든 것에 잔소리를 늘어놓아. 자기가 내 남자 친구야?,그 간섭에서 벗어날 좋은 방법이 있지 않을까요?,따로 나가 살든지 해야지 못 살아 정말.,어떤 결정을 내리시더라도 문제가 잘 해결되었으면 좋겠어요.
3228,청년,여성,"진로,취업,직장",해당없음,불안,회의적인,오늘 이직 면접을 보고 왔는데 괜히 보고 왔나 봐. 면접 간 게 후회돼.,이직 면접에서 후회되는 일이 있으셨어요?,내가 마음에 안 들었는지 면접관 반응이 시원찮더라고. 그럼 떨어지겠지?,면접관 반응이 좋지 않아서 좋은 결과를 기대하지 않으시는군요.,나도 여기 꼭 가고 싶었던 곳은 아니니까 신경 안 쓸래. 다음 이직 면접 준비나 잘해야겠어.,좋은 생각이에요. 다음 면접에서 좋은 결과 있으시길 바랄게요.
49370,중년,여성,"대인관계(부부, 자녀)",해당없음,당황,외로운,내가 자식들을 잘 보지 못했다는 이유로 남편에게 이혼을 당했어.,그런 상황이 생겨서 많이 속상하시겠어요.,앞으로 가족 없이 혼자 남을 생각에 너무나도 두려워. 아이들에게도 미안하고.,부정적인 감정을 변화시키기 위해서 할 수 있는 일이 있을까요?,내 잘못을 인정하고 가족들과 관계를 다시 쌓아가려고 해야겠어.,지금의 다짐을 통해서 상황을 극복하시길 바라요.
31225,노년,여성,재정,만성질환 유,분노,툴툴대는,자식들은 연락도 없고 우리 집에 놀러도 오지 않아.,자식들에게 매우 속상하시겠어요.,남편은 옆에서 날 위해주지만 자식들은 다 자기살기 바빠. 나는 자식도 보고 싶은데.,자식들과 연락은 해 보셨어요?,전화도 잘 안 받아. 남편이랑 가끔 기분전환 삼아 커피 마시러 나가기만 해.,남편과의 외출이 기분전환에 도움이 되길 바라요.
45121,청소년,여성,학교폭력/따돌림,해당없음,분노,좌절한,친구가 오늘 학교폭력을 당하는 것을 봤는데 모른 척하고 왔어. 너무 한심해.,친구를 도와주지 못해서 매우 속상하시군요.,그 친구를 도와줄 용기가 없었어.,이 문제를 해결하려면 어떻게 하면 좋을까요?,가장 친한 친구에게 오늘 겪은 일에 대해서 말해봐야겠어.,친구와 대화를 통해 좋은 해결책이 나왔으면 좋겠어요.
38949,노년,여성,재정,만성질환 무,분노,방어적인,코로나가 우리의 일상을 많이 바꾸어 놓았어.,네. 어떤 경우 이신대요?,지인의 아들이 직장을 잃고 부모님 댁에 얹혀살게 된 모양이야.,지인분이 걱정이 많으시겠네요.,어쩔 수 없긴 하지만 많이 속상해하는 모습이 안타까워.,네. 그러시겠어요.
885,청년,여성,"연애,결혼,출산",해당없음,당황,부끄러운,어리게만 보았던 후배가 내게 고백했는데 당황스러워서 어떻게 해야 할지 모르겠네.,갑작스럽게 고백을 받아 당황스러우신가 봐요.,심지어 내 얼굴을 빤히 보면서 나를 좋아한다고 말하니까 정말 부끄럽더라.,많이 부끄러우셨을 것 같네요. 앞으로 어떻게 하실 건지 생각해 보셨나요?,하루 정도는 생각을 해 봐야 할 것 같아. 내일 저녁에 답을 해 주려고 해.,후회 없는 결정을 내리시길 바라요.
11807,중년,남성,"대인관계(부부, 자녀)",해당없음,분노,짜증내는,어제 배우자와 크게 싸웠어. 나를 너무 이해해주지 않아.,배우자에게 이해받지 못해 매우 속상하셨겠어요.,사사건건 트집이고 화만 내서 너무 싫어.,대화가 잘 안 되어서 답답하고 화가 나시겠어요.,,
44347,청년,여성,대인관계,해당없음,분노,짜증내는,상상 속의 나는 성공한 여성인데 막상 현실의 나는 미래가 안 보이는 사람이야.,상상과 현실 속의 자신이 달라서 속상하시겠어요.,현실에선 노력도 안 하면서 성공만 바라는 낸 자신이 지긋지긋해.,이 상황을 극복하기 위해 어떻게 해야 할까요?,상상만 하지 말고 그 상상을 실천에 옮기는 연습을 시작해야 할 것 같아.,꾸준한 실천과 노력으로 이 상황을 잘 극복해나가길 바라요.
39647,노년,남성,재정,만성질환 유,불안,당혹스러운,젊어서 일을 열심히 했더니 이제 나이를 먹으니 체력적으로 한계를 느끼게 되니 서글픈 생각이 들어. 일을 더 하고 싶은데 하는데 일자리도 없겠지만 나 스스로의 체력의 한계에.,네 젊어서 일을 열심히 하셔서 일에 대한 애착 즉 성취감을 즐기셨나 보군요.,물론 나도 일을 좋아하고 성공하면 성취감에 빠져 사는 칭찬 받는 것을 좋아하는 일군이었지. 그러나 지금은 일을 할 수 없을 정도로 몸이 채력적으로 부실하니 어쩔 수 없네.,체력적으로 부실하여 일하기 힘드시군요.,맞아. 체력이 좋지 않으니 일의 효율도 떨어지고 집중도 못 한다네.,체력의 한계 때문에 일에 집중하지 못하시는군요.
28959,청년,남성,대인관계,해당없음,슬픔,눈물이 나는,친구가 힘들다고 나에게 털어놓는데 나는 아무런 도움을 줄 수 없는 상황이야.,힘든 친구에게 도움을 줄 수 없어서 답답한 마음이 드실 것 같아요.,아무런 도움이 되지 못하는 내가 너무 원망스러워.,친구에게 다른 도움을 줄 수 있는 방법은 없을까요?,정신적인 도움이 되어 줄 방법이 있겠어. 옆에서 위로를 해 주는 것만으로도 큰 힘이 될 거야.,친구가 위로의 말을 듣고 힘을 내시면 좋겠어요.
5236,청년,여성,"연애,결혼,출산",해당없음,불안,두려운,남자친구가 나를 사랑한다고 하지만 내가 그 마음을 믿고 온전히 사랑해도 될지 가끔 무서워.,남자친구가 한결같이 사랑해 줄지 가끔 걱정이 되고 무서워지는 것이네요. 특별히 그런 감정을 느끼게 되는 순간이 있을까요?,남자친구가 유독 사랑스럽게 느껴질 때 그런 것 같아. 그럴 때면 나는 점점 더 좋아지고 있는데 남자친구는 마음이 식을까 봐 걱정이 되는 거지.,좋은 마음과 비례하여 무서움이 생겨나시는 거네요. 어떻게 하면 무서운 마음이 들지 않게 할 수 있을까요?,나 혼자만의 노력으로는 쉽지 않을 것 같아. 남자친구에게 마음을 토로해봐야겠어.,남자친구와 마음을 터놓고 대화를 나눠보실 생각이신 거네요.
37358,청소년,여성,학업 및 진로,해당없음,상처,질투하는,내 벗이 이번에 나보다 점수를 잘 맞았어. 솔직히 많이 질투가 나.,질투가 나시겠어요. 어떻게 하면 성적을 보다 올릴 수 있을까요?,금일부터 공부를 열심히 할 거야.,멋져요. 언제나 응원할게요.,,
22917,중년,남성,건강,해당없음,슬픔,실망한,입원했다고 전화를 했는데도 아무도 병문안을 오지 않았어. 너무 슬퍼.,아픈데 병문안을 와주는 사람조차 없어 슬프시겠군요.,같은 병실사람들은 가족들과 지인들이 많이 오던데 나만 혼자야. 진짜 속상해.,속상함을 풀기위해 뭘 하면 좋을까요?,일단 산책 좀 해야겠어. 그러다보면 기분이 풀릴 것 같아.,그렇게 해서 주변 사람들과 더욱 가까워지고 건강 회복하길 바라요.
50195,청소년,여성,가족관계,해당없음,당황,외로운,수진이한테 틱이 있다고 반 친구들한테 크게 얘기해서 상처받았나 봐. 수진이랑 멀어질까 봐 두려워.,친구에게 상처를 준 게 마음에 걸리시는군요.,반 친구들 앞에서 쪽팔리게 만들었으니 앞으로 수진이 얼굴을 어떻게 보지?,두려운 기분을 풀어줄 수 있는 방법이 있을까요?,내가 잘 못 했다고 미안하다고 사과를 하면 풀어지면 좋겠는데.,사과로 친구의 기분이 풀리면 좋겠네요.
48635,노년,남성,재정,만성질환 무,슬픔,낙담한,나이가 들어 있을 하고 싶어도 써주질 않아. 경제적인 여유가 없는 내가 너무 안쓰러워.,일자리가 없고 경제적인 어려움이 있어 안타까운 상황이시군요.,사회에서의 내 역할을 다할 수 없음에 슬프고 앞으로는 어떻게 살아가야 할지 걱정이야.,사회적 역할의 상실감을 겪고 계시는군요. 어떻게 극복하면 좋을까요?,노년 일자리 센터에 상담 신청을 하고 방법을 강구해봐야겠어.,상담을 잘 받으시고 좋은 방법을 찾으시길 바라요.
7951,노년,남성,"건강,죽음",만성질환 유,불안,불안,몸이 왜 이런지 모르겠어.,몸에 이상을 느끼신 것 같아요. 어떤 증세가 있으신 건가요?,어지럽고 힘이 없어.,병원에 가보셨어요?,응 병원에서는 아무 이상이 없데.,건강에 대한 불안감이 있으시군요.
45951,청소년,남성,가족관계,해당없음,상처,버려진,부모님 두 분이 아무도 나에게 관심이 없으신가 봐. 혼자가 된 것 같아.,무관심으로 인해 힘드시군요. 어떠한 일이 그러한 감정을 느끼게 했나요?,부모님의 도움이 필요한 숙제가 있는데 그냥 나 혼자 하래.,함께하지 못해 아주 슬프시겠어요. 어떻게 해결하는 것이 좋을까요?,한 번 더 말씀드려 보려고. 안 되면 진짜 어쩔 수 없지 뭐.,꼭 대화로 해결됐으면 좋겠어요.
29044,청소년,남성,학업 및 진로,해당없음,당황,외로운,요즘 학업 때문에 친구들이랑 못 만나서 외톨이가 된 기분이야.,친구들이랑 못만나서 외톨이가 된 기분이군요.,맞아. 그래서 친구들과 함께 학업을 쌓아야 할 것 같아.,친구들과 함께 학업을 쌓으실 거군요.,좋았어. 내일 부터 친구들과 도서실 가야 겠어.,내일부터 친구들과 도서관에 가실 거군요.
3157,청년,여성,"진로,취업,직장",해당없음,당황,혼란스러운,처음 출근한 직장이 낯설어서 너무 혼란스러워.,새 직장이 아직 낯설고 혼란스러우시군요.,응. 나만 초보자고 다른 사람들은 다 능숙해 보여.,다른 동료들은 다 능숙해 보여서 고민이 많으시군요.,,
16052,노년,남성,재정,만성질환 유,슬픔,슬픔,내가 자식들에게 물려줄 유산이 하나도 없다는 사실에 너무 슬퍼.,유산을 물려줄 수 없는 재정 상황 때문에 마음이 매우 어려우시군요.,젊을 때에 돈을 많이 벌지 못했던 것이 너무 후회가 되고 자식들에게 미안해.,많이 힘드실 것 같아요. 앞으로 어떻게 하는 것이 좋을까요?,자식들에게 짐이 되지 않으려면 내 생활비는 내가 벌어야겠어.,재정 문제가 해결되어 슬픈 마음이 사라지면 좋겠어요.
23688,중년,여성,건강,해당없음,불안,혼란스러운,요즘 기분이 너무 오락가락한데 나도 이런 내 기분이 혼란스러워.,기분이 오락가락해서 혼란스러우시군요.,원래 평온했었는데 요즘 너무 오락가락하는 것 같아.,이러한 상황에서는 어떻게 대처해야 할까요?,기분이 왜 오락가락하는지 병원에 가서 검사를 받고 의사의 말을 잘 들어야겠어.,친구들과의 대화로 기분이 나아지셨으면 좋겠어요.
13076,청년,여성,"진로,취업,직장",해당없음,당황,외로운,팀 내에서 나를 은근 따돌리는 것 같아. 너무 힘들어,많이 힘드시겠네요. 더 구체적으로 말씀해 주시겠어요?,대놓고 따돌리지는 않지만 은근히 나를 피하는 게 느껴져.,그렇군요. 어떻게 하면 이 문제를 잘 극복할 수 있을까요?,팀원들에게 먼저 다가가거나 친해지려고 노력을 해봐야겠어.,그 노력으로 팀원들과 잘 지내 고민이 없어지길 바라요.
44702,청소년,여성,가족관계,해당없음,상처,"가난한, 불우한",내 남자 친구는 좋은 대학에 붙었는데 나는 다 떨어졌어. 나는 정말 불행한 것 같아.,원하는 대학교에 합격하지 못해 상심이 크셨겠어요.,남자 친구가 나와 더는 만나고 싶지 않아 하면 어쩌지?,걱정되는 마음이 들 때 환기시키기 위한 방법이 있을까요?,내가 너무 비관적으로 생각하는 것 같아. 긍정적으로 생각해야겠어.,긍정적인 생각으로 고민이 잘 해결됐으면 좋겠어요.
19388,청소년,여성,학교폭력/따돌림,해당없음,상처,배신당한,난 그 친구가 무서워서 가담한 건데 억울하게 선생님 앞에서 친구가 나를 주동자로 지목했어.,억울하게 선생님 앞에서 친구가 나를 주동자로 지목했군요. 조금 더 자세히 말씀해 주시겠어요?,나는 반 친구를 따돌림 시키는 데 가담했어. 나도 잘못했지만 주동자로 몰려서 억울해.,그랬군요. 이 상황에서 할 수 있는 좋은 해결 방법이 있을까요?,나도 따돌림을 당할까 봐 무서워서 가담했다고 솔직히 말할래.,친구와의 대화가 잘 풀리길 바라요.
10563,중년,여성,건강,해당없음,슬픔,실망한,홈 트레이닝을 석 달 동안 정말 열심히 했는데 별로 달라진 게 없어.,열심히 하셨는데 결과가 생각만큼 안 나와서 실망하셨군요.,체중이나 다른 수치들이 나아진 게 별로 없어. ,결과가 실망스러워서 의욕이 떨어지셨군요.,모르겠어. 지금은 그냥 결과가 실망스러울 뿐이야.,의욕을 높이려면 어떤 방법이 좋을까요?
33138,중년,여성,"직장, 업무 스트레스",해당없음,분노,분노,거래처 직원이 결재 대금을 가지고 잠적했어.,거래처 직원이 결재 대금을 가지고 잠적했군요. 어떻게 하면 좋을까요?,너무 화가 나서 아무 일도 손에 잡히지 않아.,너무 화가 나서 정신이 없군요. ,경찰에 신고해서 꼭 잡을 거야.,잠적한 직원을 경찰에 신고하실 계획이군요.
41406,노년,남성,대인관계,만성질환 무,분노,방어적인,기러기 생활을 십 년 하다 보니 가족들이랑 유대감이 많이 떨어져서 대화하기 힘들어,오랜시간 가족과 떨어져 지내셨군요. 어떤 부분이 대화하기에 힘이 드신가요?,아내랑 자식들 마음도 잘 모르겠고 대화하다보면 공감되는 부분이 거의 없어. 자식들이 아내한테만 의지하니까 내가 부족한가 싶기도 하고,자신이 부족하다고 느끼셨군요. 공감되는 주제를 먼저 꺼내보시는건 어떠신가요?,안 그래도 노력해보고 있어. 하지만 뜻대로 잘 안 돼.,노력에도 불구하고 뜻대로 되지 않아 답답하시겠어요. 
7415,중년,남성,건강,해당없음,불안,걱정스러운,의사에게 검사 결과를 들어보면 매번 정상이라고 하는데 나는 도저히 못 믿겠어.,의사의 말에 믿음이 안가시는군요.,난 분명히 안 좋은 것 같은데 자꾸 괜찮다고만 하니까.,나와 의사의 생각이 달라서 많이 혼란스러우신 거군요. 혹시 구체적으로 어디가 아프다고 느끼시나요?,어디가 아픈 건 아닌데 자꾸 추가검사를 하고 병원에 잡아두니까 그런 생각이 들어.,자꾸 추가적인 검사를 하니까 어딘가 문제가 있다고 생각이 드시는군요.
17747,노년,남성,재정,만성질환 무,불안,걱정스러운,연금 수령액을 오늘 계산해봤는데 생활하기에 조금 빠듯할 것 같아.,연금 수령액 때문에 생활에 불편함이 올까 걱정이 많으시겠어요.,이 정도로는 부족할 것 같은데 어쩌면 좋지?,어떤 방법이 가장 좋으실 거라 생각하시나요?,아무래도 지금부터 돈을 더 모으거나 절약을 하며 살아야겠지.,돈을 더 모으거나 절약하는 방법으로 상황이 해결되면 좋겠어요.
11338,청년,여성,대인관계,해당없음,기쁨,신뢰하는,친구가 나한테 정말 큰 비밀을 얘기해 줬어.,친구분께서 속에 담아두었던 얘기를 해주었나 보네요.,나를 정말 신뢰하나 봐. 그 친구에게 신뢰감이 생겼어.,친구의 행동에 따라 나도 덩달아 신뢰감이 생기기도 하지요.,,
47618,청소년,여성,가족관계,해당없음,분노,노여워하는,친구들과 사이도 좋지 않고 부모님도 나에게 관심이 없어. 이 모든 게 내 성격 탓이야.,친구와 부모님의 무관심 때문에 마음이 괴로우시군요.,내가 살갑게 굴지 못해서 그런 것 같아. 난 바보인가 봐.,이 상황에서 할 수 있는 게 어떤 것이 있을까요?,친구들과 부모님에게 솔직하게 이야기를 들어보고 싶어.,친구들과 부모님과의 대화로 기분 전환이 되길 바라요.
45641,중년,남성,"대인관계(부부, 자녀)",해당없음,당황,혼란스러운,부모님과 자녀를 내가 돌보기로 했는데 요즘 체력적으로 힘들어서 제대로 하지 못하고 있어.,부모님과 자녀를 돌보는 과정에 체력적으로 많이 힘드시군요.,그동안 틈틈이 운동도 하면서 내 체력을 기른 후 돌봤어야 했는데 너무 후회스러워.,체력을 돌보지 않아 후회스러우시겠어요.,부모님 자녀를 제대로 돌보지 않았다는 죄책감을 느끼지 않게 지금부터라도 운동을 시작할래.,운동을 통해서 체력을 기르신 후에 이 상황이 호전되었으면 좋겠어요.
34695,청년,남성,대인관계,해당없음,기쁨,편안한,오늘 부모님께 좋은 식당에서 음식을 대접하기로 했어. 기대된다.,부모님께 음식을 대접하기로 하셨군요.,부모님 덕분에 드디어 원하던 곳으로 취업하게 되었거든.,부모님 덕분에 원하는 곳에 취직할 수 있게 되었군요.,부모님께서 나를 항상 믿고 응원해주셨기 때문이야.,부모님을 위해 OO님이 어떤 일을 할 수 있을까요?
10176,중년,남성,"직장, 업무 스트레스",해당없음,분노,방어적인,평소 수행하는 업무도 충분히 부담이지만 새로운 개발 건으로 추가적인 근무 희생을 강요당하는 것 같아서 몹시 스트레스를 받고 부담스러워.,어떤 희생을 강요당하시는지 구체적으로 말씀해 주시겠어요?,엄청나게 큰 희생은 아니긴 한데 아무래도 젊었을 때의 진취적인 업무 태도와는 다르게 나이가 들다 보니 다소 근무 태도에 대한 방어적인 자세를 의도하지 않게 가지게 돼서 더 큰 희생이라고 느껴져.,방어적인 자세를 가지게 되어서 더욱 희생이라고 생각하시는군요. 나이가 들면 다들 방어적인 자세가 되는 건가요?,사람마다 다르긴 한데 나는 유난히 더 그렇더라고.,다른 사람에 비해 더 방어적인 자세를 갖게 되셨군요.
7837,중년,남성,"대인관계(부부, 자녀)",해당없음,분노,성가신,아내가 갑자기 집안일을 도와 달라고 요구하는 데 정말 귀찮아.,가사 문제로 아내분과 문제가 있으신가 봐요.,응. 아내가 요즘 몸이 안 좋아서 도와줘야 하긴 해.,아내분 건강에 문제가 있다니 걱정되시겠어요.,응. 그렇지만 집안일은 너무 귀찮아.,집안일을 하기 귀찮으시군요.
24308,노년,남성,재정,만성질환 유,기쁨,기쁨,병실에서 만난 사람에게 추천 받은 펀드의 수익률이 아주 좋아서 기뻐.,투자한 곳의 수익률이 좋다니 기분이 매우 좋으시겠어요.,귀인을 만나 운수가 잘 풀리니 앞으로도 쭉쭉 올랐으면 좋겠어.,이 기쁜 기분을 누구와 함께 나누고 싶나요?,병실에서 자신도 아프면서 나를 간호해 준 아내와 함께 이 기분을 느끼고 싶어.,모든 것이 좋은 방향이 되길 바라요.
19535,중년,여성,"재정,은퇴,노후준비",해당없음,당황,죄책감의,몸이 약한 아들이 내 탓 인 것만 같아서 죄책감이 들어.,몸이 약한 아들 때문에 많이 속상하시겠어요.,아들이 친구들과 어울리지 못하고 사회생활도 제대로 못 했어.,약한 아들에게 무엇을 해 줄지 생각해 보셨나요?,열심히 일해서 아들이 하고 싶은 것은 무엇이든 해 주고 싶어.,당신 계획대로 돼서 당신의 죄책감이 사라지기 바라요.
12363,청년,남성,대인관계,해당없음,슬픔,우울한,나는 왜 상사와 잘 지내지 못하는 걸까?,회사 상사와 잘 지내지 못해서 우울하신가요?,응. 어떻게 다가가야 할까?,상사와 친해질 방법이 없을까요?,개인적으로 식사를 하자고 먼저 말을 꺼내 볼까?,이 이야기를 함께 나눌 수 있는 사람이 있었으면 좋겠네요.
14149,청소년,여성,학업 및 진로,해당없음,상처,희생된,어릴 때부터 나는 동생을 위해서 너무 많은 것을 포기했어.,동생을 위해 많은 것을 포기했다니 서운한 마음이 크겠어요. 어떤 것들을 포기했나요?,이번에는 동생이 돈이 많이 드는 예체능을 하고싶다고 해서 내가 받고 싶은 과외를 포기했어.,하고 싶던 과외를 포기하다니 많이 속상하셨겠어요.,응. 이번만큼은 정말 동생 때문에 포기하고 싶지 않아.,네. 부모님을 설득해서 잘 조율하시길 바랄게요!
5804,청년,남성,"진로,취업,직장",해당없음,분노,분노,직장 상사가 기분 언짢은 일이 있었는지 그 화풀이로 나에게 엄청난 양의 업무를 지시했어.,과도한 업무량과 부당한 업무 지시로 화가 많이 나시겠어요.,개인적인 일로 상한 기분을 직장에서 풀고자 하는 사람을 도저히 나는 참을 수가 없어.,주변에 도움을 요청할 사람이 있나요? ,내 기분이 너무 나빠서 지금 찾아가서 이야기한다면 좋은 결과를 얻지는 못할 것 같아.,마음이 잘 진정된 뒤에 상사분과 잘 이야기가 되면 좋겠어요. 
45061,청소년,남성,가족관계,해당없음,슬픔,눈물이 나는,나는 부모님이 사소한 일에도 이래라저래라해서 너무 신경 쓰여.,부모님의 간섭 때문에 많이 힘드시네요.,그래서 내가 언제까지 이런 소리를 들어야 하나 너무 슬퍼.,이러한 상황을 어떻게 해결할 수 있을까요?,한번 나 스스로 마음을 굳게 먹고 부모님과 대화를 해볼게.,부모님과의 대화가 도움이 되셨으면 좋겠어요.
10830,청소년,여성,학업 및 진로,해당없음,기쁨,신뢰하는,선생님께 진로 상담을 받았어.,진로 상담을 받았군요. 어떠셨나요?,선생님이 내 진로에 대한 고민을 잘 들어 주셨어. 선생님과 상담하니 마음이 편안해졌어.,선생님과의 상담 시간이 좋은 시간이었나 보군요.,,
31755,중년,여성,건강,해당없음,상처,희생된,아이들 키우느라 무릎이 많이 아파서 힘이 드네.,무릎이 많이 불편한가 보네요.,무거운 거를 많이 들어서 그런 것 같아. 이제는 몸을 좀 보살펴야겠어.,이제는 몸을 소중히 여기려고 하시는군요.,,
26357,청년,여성,대인관계,해당없음,기쁨,편안한,지금 난 엄청 행복해.,최근에 무슨 좋은 일이 있었나요?,얼마 전에 크게 다퉜던 친구와 막 화해했어. ,정말 좋은 소식이네요. 무슨 일이 있었던 건가요?,오랫동안 친한 친구였는데 내가 말실수를 해서 한동안 멀어졌거든. 싸우고 나서 마음이 너무 불편했는데 이젠 편해졌어.,친한 친구와 화해를 해서 마음이 편해지셨군요.
50627,노년,여성,"건강,죽음",만성질환 무,당황,고립된,요즘 당뇨가 심해져서 큰일이야. 일상생활에도 지장이 가고 힘들어.,당뇨가 심해져서 일상생활에까지 지장이 가서 힘드시군요.,내가 식단관리랑 운동을 안 해서 벌 받는 것 같아. 내 병원비를 내주는 자식들한테도 죄책감 들고.,건강관리를 안 해서 자녀분들에게 죄책감이 드시는군요. 지금부터 무엇을 하면 좋을까요?,지금이라도 식단관리랑 운동을 시작해야지.,식단관리와 운동으로 건강을 찾으시길 바라요.
